dataset_description	dataset_filename	dataset_id	dataset_organisms	dataset_scan	dataset_title	files_count	matchedpeaks	mzerror	score	specs_filename	specs_scan
Extracts of HMP project isolates that were grown successfully. Full dataset.The information on the correspondence of MS data to taxonomy is listed here:https://docs.google.com/spreadsheets/d/1ZaZbwiQS086rDyi_rqzEykz5BFLDMT3YcI0kV7Z9aYA/edit?usp=sharingThe document is currently being updated.Sample preparation procedure:The supernatant collected from cell cultures was processed to make it compatible with HLPC-MS analysis. The solid phase extraction with wash was carried out to reduce impact of cell culture media which is highly detrimental for the ESI. The 30 mg sorbent Oasis HLB (Waters, Waltham, MA) SPE cartridges were used to achieve broad metabolite coverage. The cell samples were stored at -80?  and thawed at room temperature immediately prior to extraction. The thawed samples were then centrifuged for 10 minutes at 1200 rpm and extracted.  For the SPE extraction, the Oasis HLB SPE cartridge was conditioned with 700µL of 100% HPLC grade methanol and equilibrated with 700µL of HPLC grade DI water. The cell supernatant (~350-400µL) was loaded into cartridge and allowed to slowly elute. The loaded SPE wells were then washed with 800µL of 5% methanol in water and the absorbed material was slowly eluted with 200 µL of 100% methanol. Vacuum up to ~ 20 psi was applied for the wells that did not elute within an hour. The collected eluent was stored at -20? until the HPLC-MS analysis. 	continuous/clustered_data/MSV000082045_specs_ms.mgf	MSV000082045	Homo sapiens (NCBITaxon:9606)	557840	GNPS_HMP_cultures_full_set	22	12	0.001420338733510107	0.6582042853488191	specs_ms.mgf	1
Mice fecal samples collected longitudinally before and after antibiotic treatment. These mice were gavaged with different bile acids and fecal samples were collected from 25 mice. (Corrected massive ID with only files applying to this study)	continuous/clustered_data/MSV000083777_specs_ms.mgf	MSV000083777	Murinae gen. sp. (NCBITaxon:39108)	44716	GNPS - Antibiotic Mice Gavage Fecal Longitudinal Study	25	13	0.006579661266471248	0.6541500973765823	specs_ms.mgf	1
Gradient benchmarking dataset for ordination (QTOF only) Description: Generated by the Dorrestein lab, it consists of mixtures of 4 samples prepared at different sample ratios. Method: They were analysed on the Q-Exactive and the Maxis II (qTOF), in three chromatographic conditions (C18, C18RTshift, and C18polar). Material and methods. All solvents and reactants used were LC-MS grade. Samples. Four samples were used in the gradient benchmarking dataset: - The NIST 1950 SRM human serum sample. See the following manuscript for more informations (https://pubs.acs.org/doi/suppl/10.1021/ac402503m) - Two human fecal samples collected from a male individual with a 35 days interval (Sample F1= 11-10-2013, and F2= 12-14-2013). Samples are part of the American Gut Project (https://msystems.asm.org/content/3/3/e00031-18) - A tomato seedling sample (Solanum lycopersicum) was prepared using 3 weeks post germination specimens (fresh whole seedling was used). Sample preparation. The NIST SRM 1950 sample (1mL), the two fecal samples (210 mg of fresh material each), and the tomato seedling (800 mg of fresh material) were dissolved in 1 mL of 70/30 MeOH/H2O, and homogenized in a tissue-lyser (QIAGEN) at 25 Hz for 5 min. The tubes were then centrifugated at 15,000 rpm for 15 min, and 600 uL of the supernatants was collected and load on SPE cartdriges (Oasis HLB, Hydrophilic-Lipophilic-Balance, 30 mg with particle sizes of 30 um), that were prealably activated with 100% MeOH, and 100% H2O. After loading the supernatants, 95/5 MeOH/H2O was used as wash solvent (1 mL), then the elution was carried with 70/30 MeOH/H2O (2mL), an 100% methanol (1mL). Dried extracts were resuspended in 2.5 mL of 70/30 MeOH/H2O containing 0.5 uM of amitriptiline as internal standard. These extracts were used to prepare various combination of sample ratios, such as for NIST 1950 SRM / Tomato: 100/0, 75/25, 50/50, 25/75, 0/100. See the metadata for more informations. LC-MS/MS. Samples were analyzed using ultra high performance liquid chromatography (Dionex) coupled to a QTOF (Maxis II Bruker daltonics). Each sample was analyzed in triplicate, and the injection sequence was randomised. The QC mix sample was used to optimise the LC-MS/MS parameters and was injected periodically throughout the sequence. No carry over was observed. Three different chromatographic conditions were used (named C18, C18RTshift and C18polar). Two chromatographic columns were used: the Phenomenex Kinetex C18 1.7 um (100A) 100 x 2.1 (for C18 and C18RTshift), and the Phenomenex Kinetex C18 polar 1.6 um (100A) 100 x 2.1 mm (for C18polar). Both columns were equipped with a C18 guard cartridge (Phenomenex).. The mobile phases consisted of A (100% H2O + 0.1% formic acid) and B (100% ACN + 0.1% fomic acid), and the flow rate was set to 0.5 uL/min throughout the experiment, and the column maintainted at 40C. The same chromatographic elution method was used for the C18 and C18 polar conditions: 0.00-0.25 min, 20% B; 0.25 - 4.00 min, 50% B; 4.00 - 15.00 min, 100% B; 15.00 -15.90 min, 100% B; 16.00 - 18.00 min, 20% B. Mass Spectrometry. UPDATE File conversion. The raw data were converted to centroid in the mzML format with MSConvert (ProteoWizard, release 201812)	continuous/clustered_data/MSV000083353_specs_ms.mgf	MSV000083353	Homo sapiens (NCBITaxon:9606);Solanum lycopersicum (NCBITaxon:4081)	39296	GNPS - Gradient benchmark dataset for ordination methods (q-TOF data only)	210	12	0.0015696612665010434	0.6535665090733632	specs_ms.mgf	1
Collection is fractions of 39 marine derived bacterial extracts	continuous/clustered_data/MSV000078797_specs_ms.mgf	MSV000078797	Actinomyces	476928	gnps_ICBG_Stuffs_Upload	40	10	0.000410338733502158	0.6521252713671924	specs_ms.mgf	1
The MSMS-Chooser workflow enables the rapid data acquisition and analysis of chemical standards and uploads the MSMS spectra to the community-driven mass spectrometry platform GNPS. Tune methods, instrument methods, and test data generated from the Q Exactive for the MSMS-Chooser workflow can be found here.	continuous/clustered_data/MSV000084286_specs_ms.mgf	MSV000084286	not applicable	591	GNPS - MSMS-Chooser Methods - Q Exactive	6	14	0.001420338733510107	0.6513053980062183	specs_ms.mgf	1
Bacteria cultured in vitro with bile acid supplemented growth media, and growth media of same bacteria without bile acids.	continuous/clustered_data/MSV000088570_specs_ms.mgf	MSV000088570	Bacteroides vulgatus ATCC 8482 (NCBITaxon:435590);Bacteroides uniformis (NCBITaxon:820);Bacteroides salanitronis DSM 18170 (NCBITaxon:667015);Bacteroides massiliensis (NCBITaxon:204516);Bacteroides ovatus ATCC 8483 (NCBITaxon:411476);Bacteroides dorei DSM 17855 (NCBITaxon:483217);Bacteroides fragilis NCTC 9343 (NCBITaxon:272559);Bacteroides thetaiotaomicron (NCBITaxon:818);Lactobacillus gasseri MV-22 (NCBITaxon:559301);Lactobacillus gasseri ATCC 33323 (NCBITaxon:324831);Lactobacillus johnsonii (NCBITaxon:33959);Lactobacillus plantarum (NCBITaxon:1590);Lactobacillus rhamnosus (NCBITaxon:47715);Lactobacillus acidophilus;Streptococcus mitis (NCBITaxon:28037);Enterococcus faecium TX1330 (NCBITaxon:525279);Enterococcus faecalis TX0104 (NCBITaxon:491074);Enterococcus faecalis SF19 (NCBITaxon:1158629);Enterococcus faecalis V583 (NCBITaxon:226185);Escherichia coli Nissle 1917 (NCBITaxon:316435);Klebsiella sp. (NCBITaxon:576);Neisseria mucosa (NCBITaxon:488);Acinetobacter lwoffii (NCBITaxon:28090);Bacteroides cellulosilyticus DSM 14838 (NCBITaxon:537012);Parabacteroides distasonis CL03T12C09 (NCBITaxon:999416);Parabacteroides merdae CL03T12C32 (NCBITaxon:999420);Parabacteroides goldsteinii CL02T12C30 (NCBITaxon:999418);Clostridium perfringens (NCBITaxon:1502);Clostridium sp. (NCBITaxon:1506);Clostridium scindens ATCC 35704 (NCBITaxon:411468);Clostridium sporogenes ATCC 15579 (NCBITaxon:471871);Collinsella aerofaciens (NCBITaxon:74426);Ruminococcus gnavus ATCC 29149 (NCBITaxon:411470);Fusicatenibacter saccharivorans (NCBITaxon:1150298);Lachnospiraceae (NCBITaxon:186803);Peptostreptococcus sp. (NCBITaxon:1262);Fusobacterium mortiferum (NCBITaxon:850);Prevotella disiens (NCBITaxon:28130);Prevotella bivia (NCBITaxon:28125);Prevotella buccae (NCBITaxon:28126);Prevotella copri DSM 18205 (NCBITaxon:537011);Prevotella stercorea DSM 18206 (NCBITaxon:1002367);Paraprevotella clara (NCBITaxon:454154);Paraprevotella xylaniphila (NCBITaxon:454155);Bifidobacterium breve EX336960VC19 (NCBITaxon:858695);Bifidobacterium longum (NCBITaxon:216816);Bifidobacterium adolescentis (NCBITaxon:1680);Faecalibacterium prausnitzii (NCBITaxon:853);Campylobacter jejuni (NCBITaxon:197);Akkermansia muciniphila ATCC BAA-835 (NCBITaxon:349741)	47097	GNPS In vitro cultured bacteria with or with bile salts	99	13	0.000410338733502158	0.6473250301006067	specs_ms.mgf	1
MS/MS data were collected from the stool samples of humans with IBD	continuous/clustered_data/MSV000079777_specs_ms.mgf	MSV000079777	Homo sapiens (NCBITaxon:9606)	247070	GNPS - IBD Biobank Stool Samples - C18-LC-MS/MS Positive Polarity	12	13	0.008410338733483513	0.6459175612976364	specs_ms.mgf	1
Non-targted LC-MS/MS of PPL extracts from marine water samples from K-Bay Hawaii, from December 2016	continuous/clustered_data/MSV000082085_specs_ms.mgf	MSV000082085	environmental samples <Bacillariophyta> (NCBITaxon:33858)	43680	GNPS - Marine DOM Hawaii K-Bay Survey	4	13	0.000410338733502158	0.6456645212050988	specs_ms.mgf	1
Non-targted metabolomics from sea water PPL extracts. 	continuous/clustered_data/MSV000080507_specs_ms.mgf	MSV000080507	environmental samples <Bacillariophyta> (NCBITaxon:33858)	77586	GNPS - Hawaii DOM December 2016	4	13	0.000410338733502158	0.6448690095665794	specs_ms.mgf	1
Filtered and unfiltered seawater from a Coral Reef in Hawai'i, USA.	continuous/clustered_data/MSV000084116_specs_ms.mgf	MSV000084116	environmental samples <Bacillariophyta> (NCBITaxon:33858)	37376	GNPS - IIN - Coral Reef Survey	4	13	0.000410338733502158	0.6448690095665794	specs_ms.mgf	1
Mouse samples were run on the QE using microflow LC in collaboration with Sierra Simpson	continuous/clustered_data/MSV000087854_specs_ms.mgf	MSV000087854	Mus musculus (NCBITaxon:10090)	13191	GNPS Sierra_Simpson_07192021_samples_QE_data	350	12	0.0015696612665010434	0.644088448869291	specs_ms.mgf	1
Human specimens (urine, feces, and skin) collected on swabs (wooden handle) from subjects living in Venezuela along an urbanization gradient (city to jungle). A collaborative project with Maria Gloria Dominguez-Bello.	continuous/clustered_data/MSV000082433_specs_ms.mgf	MSV000082433	Homo sapiens (NCBITaxon:9606)	78097	GNPS - Amerindians_UrbanizationGradient	116	16	0.00459966126652489	0.6431387159658427	specs_ms.mgf	1
A collection of fecal LC-MS/MS metabolomics data from mice treated with letrozole and those without treatment.	continuous/clustered_data/MSV000081524_specs_ms.mgf	MSV000081524	Mus musculus (NCBITaxon:10090)	15918	GNPS Letrozole Treated Mice Fecal Metabolome	12	12	0.001420338733510107	0.6417042234808801	specs_ms.mgf	1
Metabolic study on the effect of sleep disruption on mice. Data was generated on a Thermo Q Exactive and C18 RP UHPLC. Positive polarity acquisition on LC-MS/MS.	continuous/clustered_data/MSV000080629_specs_ms.mgf	MSV000080629	C57BL\/6N MIce (black 6 mice)	12306	GNPS - ONR_Lowry_MouseStudy	186	16	0.0005696612665246903	0.6394044982225014	specs_ms.mgf	1
Several oral bacterial species were grown anaerobically and fed either glucose or lactate in SHI medium (for method see: Edlund et al., 2013, Edlund et al, 2015 - see http://www.microbiomejournal.com/content/pdf/2049-2618-1-25.pdf   &   http://www.nature.com/ismej/journal/vaop/ncurrent/full/ismej201572a.html). Biofilm samples for LCMS were collected at different time points from growth wells. After growth was established in SHI medium, biofilms were washed with minimal medium and supplemented with either glucose or lactate (Veillonella species) (see Edlund et al., 2013, Edlund et al., 2015). Samples were collected both after the initial biofilm establishment in SHI medium and after the addition of the supplemented cdm medium. According to gnps network analyses and data sorting exercises: 1) ~10% of this data is reproducible; 2) several of the present masses can also be detected both in SHI and cdm medium. mzXML files for media is not uploaded here (i.e. no media subtraction can be employed using these files only). 	continuous/clustered_data/MSV000079151_specs_ms.mgf	MSV000079151	mixed oral bacterial isolates	394824	GNPS LCMS data from oral isolates during in vitro metabolism of sugar and lactate	2	12	0.0015696612665010434	0.6390095770494739	specs_ms.mgf	1
45 samples consisting of 1:1 MeOH:H2O, and MeOH C18 RP-SPE fractions of mycelium and broth extracts of cultures of the amphibian gut-symbiotic fungus Basidiobolus meristosporus, prepared by Spatafora Lab and McPhail Lab.  	continuous/clustered_data/MSV000084007_specs_ms.mgf	MSV000084007	Basidiobolus meristosporus (NCBITaxon:423460)	123	GNPS - IIN - Basidiobolus_Data_for_IIN_6-21-2019	3	12	0.000410338733502158	0.6387078539818531	specs_ms.mgf	1
A collection of liver and fecal samples from protein undernourished mice throughout the lifespan.	continuous/clustered_data/MSV000087790_specs_ms.mgf	MSV000087790	Mus musculus (NCBITaxon:10090)	57016	GNPS Undernourished Mouse Metabolomics Protein Restriction	165	13	0.005569661266520143	0.6366299033320706	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c18 column) positive mode 	continuous/clustered_data/MSV000082608_specs_ms.mgf	MSV000082608	C57BL\/6N	177980	GNPS - ONR Primary Turek- Mouse- Stool	221	14	0.000410338733502158	0.635627240190338	specs_ms.mgf	1
Small molecule analysis of Rhino fecal extracts, standard methanol extraction. Data were acquired using a Bruker Maxis Impact MS and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000086012_specs_ms.mgf	MSV000086012	Ceratotherium simum simum (NCBITaxon:73337)	72645	GNPS - SD Zoo - Rhino fecal samples 2019 - QTOF	8	9	0.000410338733502158	0.6355147272632337	specs_ms.mgf	1
Untargeted LC/MS metabolomics data for fecal samples collected in collaboration with Brigid Boland.	continuous/clustered_data/MSV000087942_specs_ms.mgf	MSV000087942	Homo sapiens (NCBITaxon:9606)	40264	GNPS IBD Stool Samples Metabolomics	143	14	0.0005696612665246903	0.6347482827868783	specs_ms.mgf	1
Data was acquired using a Bruker Daltronics maXis Impact and a C18 RP-UHPLC system. Positive polarity acquisition of LC-MS/MS 	continuous/clustered_data/MSV000081344_specs_ms.mgf	MSV000081344	Mus musculus (NCBITaxon:10090)	1922	GNPS - SEED - Palmer	64	14	0.0054103387334976105	0.6341012404663005	specs_ms.mgf	1
Metabolomics analysis of mice stool samples. Data was acquired using a Thermo q-Exactive and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS. 	continuous/clustered_data/MSV000080574_specs_ms.mgf	MSV000080574	mouse	13302	GNPS - Turck - Mouse Sleep Disruption Study and Intervation	234	15	0.000410338733502158	0.6328082514498383	specs_ms.mgf	1
Metabolite analysis of meat samples (with and without tetracycline addition). Samples were extracted in ethanol using FoodOmics protocols. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS and LC-MS/MS. 	continuous/clustered_data/MSV000082423_specs_ms.mgf	MSV000082423	food metagenome (NCBITaxon:870726)	1362	GNPS_Sytem wide MS class 2018 Food group 1 meat	19	12	0.0005696612665246903	0.6325896885197457	specs_ms.mgf	1
Metabolic analysis of fermented liquids and formulas, standard ethanol extraction. Data was acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081749_specs_ms.mgf	MSV000081749	food fermentation metagenome (NCBITaxon:1154581)	1602	GNPS - GFOP - Food - Plate18_fermentedLQ	3	9	0.0005696612665246903	0.6299550606929863	specs_ms.mgf	1
blood samples as part of a study to determine the effect of the gut microbiome on drug metabolism. these data are to serve for testing and evaluation of ion identity networking.	continuous/clustered_data/MSV000084008_specs_ms.mgf	MSV000084008	Homo sapiens (NCBITaxon:9606)	94515	GNPS - INN - Drug Metabolism Blood	13	11	0.0015696612665010434	0.6284482597043255	specs_ms.mgf	1
hullllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll	continuous/clustered_data/MSV000085561_specs_ms.mgf	MSV000085561	human	5699	GNPS - data_grenoble-08-06-2020-blabla	48	13	0.014420338733486915	0.6282884236125057	specs_ms.mgf	1
Metabolic study on the effect of sleep disruption on rats. Data was generated on a Thermo Q Exactive and C18 RP UHPLC. Positive polarity acquisition on LC-MS/MS.	continuous/clustered_data/MSV000083073_specs_ms.mgf	MSV000083073	Rattus norvegicus (NCBITaxon:10116)	158349	GNPS - ONR Primary Turek- Rat- Stool and Plasma	294	14	0.000410338733502158	0.6268794670289658	specs_ms.mgf	1
Example metabolite analysis of food and stool samples. Samples were extracted in ethanol using FoodOmics protocols. Data were acquired using a Bruker Daltonics maXis Impact and C18 RP-UHPLC. Positive polarity acquisition of LC-MS and LC-MS/MS. 	continuous/clustered_data/MSV000082453_specs_ms.mgf	MSV000082453	food metagenome (NCBITaxon:870726)	252	GNPS - Metabolomics2018_demo_data	2	12	0.0005696612665246903	0.6255793917993737	specs_ms.mgf	1
Untargeted LC/MS metabolomics of stool samples collected as part of the U19.	continuous/clustered_data/MSV000088137_specs_ms.mgf	MSV000088137	Homo sapiens (NCBITaxon:9606)	111981	GNPS U19_Wisconsin_Stool_Samples	35	14	0.0005696612665246903	0.621739624729579	specs_ms.mgf	1
ApoE knockout mice were either exposed to hypoxia, or hypercapnia, or both or kept in room air (controls) and fecal samples were collected longitudinally. Impact of treatments were studied using non-targeted LC-MS/MS data	continuous/clustered_data/MSV000082973_specs_ms.mgf	MSV000082973	Mus musculus (NCBITaxon:10090)	42281	GNPS ApoEKO_IH_IC_mousegut	277	13	0.0005696612665246903	0.6202176047637538	specs_ms.mgf	1
ApoE knockout mice were exposed to intermittent hypoxia and hypercapnia (treatment) or room air (controls). Perturbations in the gut microbiome were profiled longitudinally using LC-MS/MS to study the impact of treatment on the gut metabolome. 	continuous/clustered_data/MSV000082972_specs_ms.mgf	MSV000082972	Mus musculus (NCBITaxon:10090)	4963	GNPS ApoEKO_IHC_mousegut	180	13	0.0005696612665246903	0.6193545815604629	specs_ms.mgf	1
hypoxia-exposed samples from mice, breastmilk from humans 	continuous/clustered_data/MSV000082813_specs_ms.mgf	MSV000082813	 	4985	GNPS_assorted_dataset	167	13	0.0005696612665246903	0.6185979702273156	specs_ms.mgf	1
GNPS Feature-Based Molecular Networking Workshop - American Gut subset with metadata for plant consumptionSee manuscript here: https://msystems.asm.org/content/3/3/e00031-18	continuous/clustered_data/MSV000082678_specs_ms.mgf	MSV000082678	Homo sapiens (NCBITaxon:9606)	7522	GNPS Feature-Based Molecular Networking Workshop - American Gut subset with metadata for plant consumption	13	15	0.0005696612665246903	0.6173379980456698	specs_ms.mgf	1
LC-MS/MS of 50/50 water/methanol extracts of mouse fecal pellets.	continuous/clustered_data/MSV000080183_specs_ms.mgf	MSV000080183	Mus musculus (NCBITaxon:10090)	46655	GNPS - Mouse Fecal Metabolites	25	11	0.0005696612665246903	0.6162606146970588	specs_ms.mgf	1
A collection of fecal samples from an additional 24 mice fed high fat diet or nomrlal chow from reference DOI: 10.1128/mSystems.00020-18. The data is used to study the effect of high fat diet on microbial conjugated bile acids.	continuous/clustered_data/MSV000082480_specs_ms.mgf	MSV000082480	Mus musculus (NCBITaxon:10090)	3431	GNPS ApoE hypoxia additional mice for 3D mouse manuscript	68	13	0.0005696612665246903	0.6156361944176992	specs_ms.mgf	1
LC-MS data from the Fusarium PKS7 k/o project. Containing WT, dPKS7 (k/o), OEPKS7, dand PKS7;10;11;12 (k/o) strains. B means broth while CE means cell extracts.	continuous/clustered_data/MSV000084977_specs_ms.mgf	MSV000084977	Fusarium graminearum species complex (NCBITaxon:569360)	14097	GNPS - Fusarium dPKS7 dataset submission to MassIVE	16	12	0.0005696612665246903	0.6150224121179395	specs_ms.mgf	1
A LCMS-based screening of brazilian Salinispora strains grown in liquid A1 media and extracted with EtOAc or BuOH.	continuous/clustered_data/MSV000079015_specs_ms.mgf	MSV000079015	Salinispora arenicola (NCBITaxon:168697);Salinispora pacifica (NCBITaxon:351187)	3975	GNPS-Brazilian Salinispora strains screening	25	12	0.0015696612665010434	0.61393323999988	specs_ms.mgf	1
Monoculture and coculture of Cutibacterium acnes KPA171202 and Staphylococcus aureus JE2 on BHI liquid medium containing 100uL XAD16. Anaerobic culture conditions for 3-5 days. Cultures were centrifuged and supernatant removed. XAD16 slurry removed and extracted with 100%MeOH. Extract was freeze-dried and resuspended for LC-MS/MS performed in an UltiMate 3000 UPLC system (Thermo Scientific) using a Kinetex 1.7 mm C18 reversed phase UHPLC column (50 X 2.1 mm) and Maxis Q-TOF mass spectrometer (Bruker Daltonics) equipped with ESI source.	continuous/clustered_data/MSV000084680_specs_ms.mgf	MSV000084680	Cutibacterium acnes KPA171202;Staphylococcus aureus JE2	13521	GNPS - C.acnes and S.aureus BHI coculture Pre_XAD	96	12	0.000410338733502158	0.6122762787619092	specs_ms.mgf	1
study of diphenhydramine in blood and skin - untargeted mass spectrometry analysis	continuous/clustered_data/MSV000085944_specs_ms.mgf	MSV000085944	Homo sapiens (NCBITaxon:9606)	133527	GNPS - Tsunoda Diphenhydramine Study	40	12	0.0005696612665246903	0.6116956952370896	specs_ms.mgf	1
Monoculture and coculture of Cutibacterium acnes KPA171202 and Staphylococcus aureus JE2 on BHI liquid medium. Anaerobic culture conditions for 3-5 days. Cultures were centrifuged and supernatant removed. Extraction performed by addition of 100uL XAD16 slurry to the supernatant and incubation under shaking (2000 rpm, 4 h). XAD16 slurry removed and extracted with 100% MeOH. Extract was freeze-dried and resuspended for LC-MS/MS performed in an UltiMate 3000 UPLC system (Thermo Scientific) using a Kinetex 1.7 mm C18 reversed phase UHPLC column (50 X 2.1 mm) and Maxis Q-TOF mass spectrometer (Bruker Daltonics) equipped with ESI source.	continuous/clustered_data/MSV000084701_specs_ms.mgf	MSV000084701	Cutibacterium acnes KPA171202;Staphylococcus aureus JE2	29571	GNPS - C.acnes and S.aureus BHI coculture Pos_XAD	191	12	0.000410338733502158	0.6110951031911108	specs_ms.mgf	1
Evaluation of plasma samples from the CHOICE clinical weight loss study in which obese post menopausal breast cancer survivors lost >15% initial body weight following either a low carbohydrate or a low fat dietary pattern. These samples will be interrogated for changes in metabolic intermediates and lipid metabolites that may be indicative of changes in prognosis for long term survival following treatment for breast cancer. Samples will be subjected to LCMS and shotgun lipidomics. In parallel, plasma and mammary gland fat pad from an obese rat model for breast cancer in which rats were subjected to a parallel level of weight loss will also be interrogated using the same procedures in an effort to inform the interpretation of the clinical data.	continuous/clustered_data/MSV000082728_specs_ms.mgf	MSV000082728	Homo sapiens\/Rattus norvegicus	4187	Metabolomics Workbench ST000661 - GNPS - CHOICE clinical weight loss study	8	11	0.004410338733521257	0.6101133594072883	specs_ms.mgf	1
This is the second test dataset for the new Chemical Standard to GNPS Library SOP workflow. This data was collected when the instrument was in need of maintenance. Data was re-collected at a later date.	continuous/clustered_data/MSV000084287_specs_ms.mgf	MSV000084287	not applicable	91	GNPS - Chemical Standard to GNPS Library - GNPS00002 DO NOT USE	4	13	0.001420338733510107	0.606971871374048	specs_ms.mgf	1
Data was collected on a LC-MS/MS system (c18 column) positive mode 	continuous/clustered_data/MSV000082650_specs_ms.mgf	MSV000082650	C57BL\/6N	62622	GNPS - ONR Primary Lowry- Mouse- Stool	126	14	0.010579661266490348	0.6067784296418933	specs_ms.mgf	1
 Maternal and fetal metabolites GF/SPF E16.5 (mouse) 	continuous/clustered_data/MSV000082325_specs_ms.mgf	MSV000082325	Mus musculus (NCBITaxon:10090)	32935	GNPS - Maternal and fetal metabolites GF/SPF E16.5 (mouse) 	10	10	0.000410338733502158	0.6065360413012493	specs_ms.mgf	1
Non-targted MS/MS profiling of evolved (Fluor-Indole using) E. coli strains.	continuous/clustered_data/MSV000081065_specs_ms.mgf	MSV000081065	Escherichia coli (NCBITaxon:562)	2159	GNPS - Evolved E. coli I	10	13	0.0005696612665246903	0.605613064842221	specs_ms.mgf	1
Non-targeted metabolomics from mouse fecal and plasma samples from prebiotic study. Samples were extracted with "Phree" phospholipid removal kit.	continuous/clustered_data/MSV000084753_specs_ms.mgf	MSV000084753	Mus musculus (NCBITaxon:10090)	10431	GNPS - Audrey's Plasma and Fecal Samples	80	14	0.0005696612665246903	0.6043409980672788	specs_ms.mgf	1
All data from ETNP OMZ Cruise in 2017 and 2018, 2D DOM and Station M collected by the Aluwihare lab and run in 2019.	continuous/clustered_data/MSV000085480_specs_ms.mgf	MSV000085480	environmental samples <Bacillariophyta> (NCBITaxon:33858)	238010	GNPS - Aluwihare Lab_ETNP_2017 and 2018	4	12	0.0005696612665246903	0.6033587806573518	specs_ms.mgf	1
Data set contains 112 fecal extracts in total acquired using LC-MS/MS. 	continuous/clustered_data/MSV000079598_specs_ms.mgf	MSV000079598	Homo sapiens (NCBITaxon:9606)	12978	GNPS_American_84_UK_86_Gut	68	15	0.000410338733502158	0.6032481833689902	specs_ms.mgf	1
untargeted metabolomics (RPLC + QE) on fecal material from C57BL/6 mice under hypoxia (treatment) and normoxia (control)	continuous/clustered_data/MSV000081482_specs_ms.mgf	MSV000081482	Mus musculus (NCBITaxon:10090)	5729	GNPS OSA_mice_LDLR-KO_feces (6 weeks; positive mode)	81	13	0.0005696612665246903	0.6021974548540784	specs_ms.mgf	1
Comparison of bacillus cereus mutant strains in solid culture media	continuous/clustered_data/MSV000082384_specs_ms.mgf	MSV000082384	Bacillus	522	GNPS_Baccereus	13	11	0.0015696612665010434	0.6017222323656971	specs_ms.mgf	1
An experiment looking OATs (organic anion transporters) as the main microbiome pathway for renal elimination of many gut microbiome metabolites of clinical importance in children, pregnant mothers and other adults.  Data was acquired using a Thermo Q-Exative and C18 RP-UHPLC. Positive polarity acquisition of LC-MS/MS.	continuous/clustered_data/MSV000081077_specs_ms.mgf	MSV000081077	Rattus norvegicus (NCBITaxon:10116)	6113	GNPS - SEED Grant - Sanjay	18	13	0.0005696612665246903	0.6012293304238122	specs_ms.mgf	1
Datasets of 2 patients with COVD for workshop GNPS FBMN	continuous/clustered_data/MSV000086207_specs_ms.mgf	MSV000086207	Homo sapiens (NCBITaxon:9606)	854	GNPS R_COV01 Demo Datasets Workshop GNPS FBMN Patients 17 and 18	4	13	0.000410338733502158	0.6010774349123886	specs_ms.mgf	1
Data was collected on a LC-MS/MS system positive mode. Plasma and cerebrospinal fluid data from humans were acquired on the Q-Exactive with a c-18 column	continuous/clustered_data/MSV000085256_specs_ms.mgf	MSV000085256	Homo sapiens (NCBITaxon:9606)	5136	GNPS - Metabolomic analysis of Alzheimers Disease	27	11	0.0005696612665246903	0.5991729875475803	specs_ms.mgf	1
Serum of LCMV infected mice. Data was generated on a Thermo Q Exactive and C18 RP UHPLC. Positive polarity acquisition on LC-MS/MS.	continuous/clustered_data/MSV000084576_specs_ms.mgf	MSV000084576	Mus musculus (NCBITaxon:10090)	2370	GNPS - Zuniga Lab Serum Samples 11122019	94	13	0.0005696612665246903	0.5988447575024488	specs_ms.mgf	1
The mice were injected via tail vein with either shBmal1 adenovirus or shLacz adenocirus as control (n=5 for each group), following 10 days of 5% ethanol diet feeding. Then the mice were dissected and liver tissues were flash freezed. 25mg liver tissues from each mouse of the same group were pooled.	continuous/clustered_data/MSV000082704_specs_ms.mgf	MSV000082704	Mus	949	Metabolomics Workbench ST000674 - GNPS - Bmal1-ethanol based diet and liver injury	4	9	0.001420338733510107	0.5951888656914388	specs_ms.mgf	1
Metabolic analysis on rats on the effect of circadian disruption. Data was generated on a Thermo Q Exactive and C18 RP UHPLC. Positive acquisition of LC-MS/MS 	continuous/clustered_data/MSV000080628_specs_ms.mgf	MSV000080628	Rattus norvegicus	15020	GNPS - ONR_Fleshner_RatStudy	92	15	0.0015696612665010434	0.5949307947337654	specs_ms.mgf	1
data dependent MS2 acquisition of Stomach and Stomach Content of mice for Chagas Diseases. Two categories of condition: Infected vs Uninfected. Both has 12 days and 89 days sample collection point. 	continuous/clustered_data/MSV000082618_specs_ms.mgf	MSV000082618	Mice	618	GNPS_Mice_GIMap_Stomach_Positive	5	13	0.000410338733502158	0.5937111462431143	specs_ms.mgf	1
